"","listA","listB","listC"
"1","play","time","him"
"2","we","plays","people"
"3","open","miss","moon"
"4","black","look","left"
"5","plane","candy","become"
"6","an","doubtful","invent"
"7","jewel","resolve","investigate"
"8","them","round","peace"
"9","imagine","long","however"
"10","through","great","inside"
"11","shine","contain","toy"
"12","question","business","mystery"
"13","qualify","circus","testify"
"14","bangs","liberty","gravel"
"15","configuration","pledge","dryer"
"16","hammer","history","guess"
"17","pretty","into","brought"
"18","pencil","purchase","short"
"19","went","grasshopper","custom"
"20","agreed","truck","waves"
"21","distance","budget","elements"
"22","reverse","begin","brush"
"23","lame","pickle","animal"
"24","will","hot","understand"
"25","sick","farmer","without"
"26","watch","natural","back"
"27","spy","street","once"
"28","best","number","chance"
"29","more","library","wood"
"30","describe","famous","compliment"
"31","answer","give","garden"
"32","tried","complete","from"
"33","sun","come","morning"
"34","building","money","arm"
"35","light","faster","almost"
"36","whose","guarantee","overwhelm"
"37","fatter","garment","accustomed"
"38","appropriates","potent","telescoped"
"39","hu","ap","uoy"
"40","khtna","et","ypla"
"41","os","fror","om"
"42","fafever","ot","cok"
"43","ujst","asca","inni"
"44","wawed","pame","charks"
"45","hane","crit","ase"
"46","grat","fireer","ston"
"47","creat","rescets","overtruan"
"48","nied","cotosks","lant"
"49","lape","beller","wread"
"50","albust","baafness","sint"
"51","de","cag","piscil"
"52","arsher","bove","slace"
"53","trood","roder","garbant"
"54","loms","yos","wews"
"55","hom","crovel","leald"
"56","soth","serning","swane"
"57","han","telechinct","ablood"
"58","shring","wase","banny"
"59","tascer","wirtoul","fasees"
"60","ancrusinishness","leld","runey"
"61","immiterise","contive","mistive"
"62","oban","clomify","dood"
"63","hencory","mot","cuppom"
"64","bulbet","loak","inpant"
"65","moop","strarms","purshare"
"66","rebosks","losh","unger"
"67","ip","ge","dag"
"68","cowbim","idthepiates","alipol"
"69","spu","orn","tfaer"
"70","brubs","besime","hus"
"71","woft","molent","mich"
"72","wared","med","fave"
"73","ggnoi","alk","fawerty"
"74","nop","scays","flankfopper"
"75","distides","hant","fite"
"76","hust","complase","streat"
"77","chanding","shink","mader"
"78","rackle","bads","recorse"
